business_id,business_address,business_city,business_latitude,business_longitude,inspection_score
1829,1152 Taylor St,San Francisco,37.793238,-122.412746,85.5
1830,745 Columbus Ave,San Francisco,37.801615999999996,-122.41213700000002,81.0
1831,44 Belden Pl,San Francisco,37.791278000000005,-122.403748,85.0
1832,217 Kearny St,San Francisco,37.790125,-122.403924,79.10526315789474
1837,22 Belden Pl,San Francisco,37.791139,-122.40371599999999,83.66666666666667
1843,1315 Powell St,San Francisco,37.796683,-122.41013400000001,74.70588235294117
1844,15 Romolo Pl,San Francisco,37.798244,-122.406324,88.0
1850,950 Battery St,San Francisco,37.800178,-122.40131699999999,85.0
1852,2330 Taylor St,San Francisco,37.803946999999994,-122.414927,88.46153846153847
1854,218 Montgomery St,San Francisco,37.791148,-122.40226200000001,85.0909090909091
1867,333 Bush St #103,San Francisco,37.790844,-122.403168,88.9
1870,28 Belden Pl,San Francisco,37.791198,-122.403737,81.73333333333333
1880,2640 Sloat Blvd,San Francisco,37.735568,-122.5027,88.85714285714286
1894,316 Clement St,San Francisco,37.783048,-122.46264099999999,90.75
1896,3434 BALBOA St,San Francisco,37.775818,-122.495802,84.0
1912,1345 Noriega St,San Francisco,37.754114,-122.47833,88.85714285714286
1921,1735 Taraval St,San Francisco,37.742603,-122.484646,79.0
1922,901 Clement St,San Francisco,37.782694,-122.468969,84.47058823529412
1926,300 34th Ave,San Francisco,37.782971,-122.496324,86.58823529411765
1927,1799 FULTON St,San Francisco,37.775793,-122.44622700000001,94.5
1930,2115 Irving St,San Francisco,37.763383000000005,-122.48075,85.625
